Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,22626
design__instance__area,110874
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,571
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,61
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0019869632087647915
power__switching__total,0.0008979010744951665
power__leakage__total,1.1288318546576193E-7
power__total,0.002884977264329791
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.32329542735760586
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.32310052770012077
timing__hold__ws__corner:nom_tt_025C_1v80,0.3027916891810651
timing__setup__ws__corner:nom_tt_025C_1v80,7.309609124878889
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.302792
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.309609
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2527
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,61
design__max_cap_violation__count__corner:nom_ss_100C_1v60,28
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.36674284092091225
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.36657819484170384
timing__hold__ws__corner:nom_ss_100C_1v60,0.8330393277643805
timing__setup__ws__corner:nom_ss_100C_1v60,-3.883014908408263
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-255.89995557997554
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.883014908408263
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.833039
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,90
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.883015
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,90
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,267
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,61
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.30492484400533393
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.30471567798157895
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09703832456682704
timing__setup__ws__corner:nom_ff_n40C_1v95,11.769872520858039
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.097038
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,11.769873
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2929
design__max_fanout_violation__count,61
design__max_cap_violation__count,37
clock__skew__worst_hold,-0.2971546703919831
clock__skew__worst_setup,0.29675432395798074
timing__hold__ws,0.09361456319550618
timing__setup__ws,-4.635701731470571
timing__hold__tns,0.0
timing__setup__tns,-318.1077464814533
timing__hold__wns,0
timing__setup__wns,-4.635701731470571
timing__hold_vio__count,0
timing__hold_r2r__ws,0.093615
timing__hold_r2r_vio__count,0
timing__setup_vio__count,270
timing__setup_r2r__ws,-4.635702
timing__setup_r2r_vio__count,270
design__die__bbox,0.0 0.0 508.76 225.76
design__core__bbox,2.76 2.72 506.0 223.04
design__io,45
design__die__area,114858
design__core__area,110874
design__instance__count__stdcell,7061
design__instance__area__stdcell,57956.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.522728
design__instance__utilization__stdcell,0.522728
design__rows,81
design__rows:unithd,81
design__sites,88614
design__sites:unithd,88614
design__instance__count__class:buffer,6
design__instance__area__class:buffer,30.0288
design__instance__count__class:inverter,116
design__instance__area__class:inverter,435.418
design__instance__count__class:sequential_cell,542
design__instance__area__class:sequential_cell,11528.6
design__instance__count__class:multi_input_combinational_cell,3813
design__instance__area__class:multi_input_combinational_cell,34959.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,15565
design__instance__area__class:fill_cell,52917
design__instance__count__class:tap_cell,1577
design__instance__area__class:tap_cell,1973.14
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1581.38
design__instance__displacement__mean,0.222
design__instance__displacement__max,16.78
route__wirelength__estimated,219957
design__violations,0
design__instance__count__class:timing_repair_buffer,804
design__instance__area__class:timing_repair_buffer,7489.68
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,79
design__instance__area__class:clock_buffer,1074.78
design__instance__count__class:clock_inverter,19
design__instance__area__class:clock_inverter,202.694
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,152
flow__warnings__count:RSZ-0062,1
global_route__vias,17
global_route__wirelength,379886
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,14
design__instance__count__class:antenna_cell,105
design__instance__area__class:antenna_cell,262.752
route__net,5354
route__net__special,2
route__drc_errors__iter:0,2
route__wirelength__iter:0,272152
route__drc_errors__iter:1,0
route__wirelength__iter:1,272141
route__drc_errors__iter:2,159
route__wirelength__iter:2,272127
route__drc_errors__iter:3,70
route__wirelength__iter:3,272124
route__drc_errors__iter:4,33
route__wirelength__iter:4,272139
route__drc_errors__iter:5,5
route__wirelength__iter:5,272147
route__drc_errors__iter:6,0
route__wirelength__iter:6,272141
route__drc_errors,0
route__wirelength,272141
route__vias,50226
route__vias__singlecut,50226
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,703.53
timing__unannotated_net__count__corner:nom_tt_025C_1v80,53
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
