Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,3147
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00024244908127002418
power__switching__total,0.00021846272284165025
power__leakage__total,1.657630122053888E-8
power__total,0.00046092839329503477
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2572001295852351
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25697891764132225
timing__hold__ws__corner:nom_tt_025C_1v80,0.33658116135770955
timing__setup__ws__corner:nom_tt_025C_1v80,28.775219466118156
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.336581
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,38.085316
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,436
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25945971106000876
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2592509336143234
timing__hold__ws__corner:nom_ss_100C_1v60,0.8983826714609059
timing__setup__ws__corner:nom_ss_100C_1v60,25.843887761334017
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.898383
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,25.843887
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25587027665315265
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2556433470605013
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11823736768777952
timing__setup__ws__corner:nom_ff_n40C_1v95,29.83069165009011
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118237
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,38.770359
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,493
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2543155202854961
clock__skew__worst_setup,0.2541520399404965
timing__hold__ws,0.11486367737628535
timing__setup__ws,25.626214764434536
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114864
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,25.626215
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1172
design__instance__area__stdcell,9866.96
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.59824
design__instance__utilization__stdcell,0.59824
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,25
design__instance__area__class:inverter,93.84
design__instance__count__class:sequential_cell,63
design__instance__area__class:sequential_cell,1340.04
design__instance__count__class:multi_input_combinational_cell,718
design__instance__area__class:multi_input_combinational_cell,6730.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1975
design__instance__area__class:fill_cell,6626.36
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,661.25
design__instance__displacement__mean,0.53
design__instance__displacement__max,38.78
route__wirelength__estimated,29304.3
design__violations,0
design__instance__count__class:timing_repair_buffer,126
design__instance__area__class:timing_repair_buffer,1171.12
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,10
design__instance__area__class:clock_buffer,232.723
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,25
global_route__vias,3436
global_route__wirelength,52336
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
route__net,962
route__net__special,2
route__drc_errors__iter:0,931
route__wirelength__iter:0,36400
route__drc_errors__iter:1,575
route__wirelength__iter:1,36086
route__drc_errors__iter:2,493
route__wirelength__iter:2,35873
route__drc_errors__iter:3,26
route__wirelength__iter:3,35857
route__drc_errors__iter:4,0
route__wirelength__iter:4,35873
route__drc_errors,0
route__wirelength,35873
route__vias,8328
route__vias__singlecut,8328
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,295.29
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
