Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3300
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005271830013953149
power__switching__total,0.0003748298331629485
power__leakage__total,1.6553986625922334E-8
power__total,0.0009020293364301324
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2596564980966891
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25890298970856535
timing__hold__ws__corner:nom_tt_025C_1v80,0.33276865538332173
timing__setup__ws__corner:nom_tt_025C_1v80,15.711855372574759
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.332769
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.711855
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26408850853633853
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2642507676359765
timing__hold__ws__corner:nom_ss_100C_1v60,0.9045013882784204
timing__setup__ws__corner:nom_ss_100C_1v60,11.647457550343898
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.904501
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.647457
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2578598241251248
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.257095157995288
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12066248342020644
timing__setup__ws__corner:nom_ff_n40C_1v95,17.29477232600279
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120662
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.294773
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2566261442652705
clock__skew__worst_setup,0.2565081553099915
timing__hold__ws,0.11736068005158984
timing__setup__ws,11.56636419379654
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117361
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.566364
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1082
design__instance__area__stdcell,8933.57
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.541648
design__instance__utilization__stdcell,0.541648
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,6
design__instance__area__class:buffer,55.0528
design__instance__count__class:inverter,22
design__instance__area__class:inverter,93.84
design__instance__count__class:sequential_cell,118
design__instance__area__class:sequential_cell,2364.77
design__instance__count__class:multi_input_combinational_cell,571
design__instance__area__class:multi_input_combinational_cell,4659.47
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2218
design__instance__area__class:fill_cell,7559.75
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,106
design__instance__area__class:timing_repair_buffer,792.01
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16682.8
design__violations,0
design__instance__count__class:clock_buffer,25
design__instance__area__class:clock_buffer,590.566
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,96.3424
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,63
global_route__vias,5831
global_route__wirelength,31326
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,865
route__net__special,2
route__drc_errors__iter:0,476
route__wirelength__iter:0,18794
route__drc_errors__iter:1,203
route__wirelength__iter:1,18593
route__drc_errors__iter:2,204
route__wirelength__iter:2,18433
route__drc_errors__iter:3,35
route__wirelength__iter:3,18472
route__drc_errors__iter:4,0
route__wirelength__iter:4,18457
route__drc_errors,0
route__wirelength,18457
route__vias,6149
route__vias__singlecut,6149
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,163.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,28
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,28
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
