Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,5481
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,9
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00039143936010077596
power__switching__total,0.000123955964227207
power__leakage__total,3.690598049388427E-8
power__total,0.0005154322134330869
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27384664755380667
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27198041810778245
timing__hold__ws__corner:nom_tt_025C_1v80,0.3226460856477136
timing__setup__ws__corner:nom_tt_025C_1v80,29.65825713409907
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322646
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,29.658257
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,374
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,9
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2899080779718534
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28368039276139007
timing__hold__ws__corner:nom_ss_100C_1v60,0.8997619570745579
timing__setup__ws__corner:nom_ss_100C_1v60,19.121032409742472
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.899762
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,19.121033
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,9
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2672266650264971
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26602162892148823
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11499562738649385
timing__setup__ws__corner:nom_ff_n40C_1v95,30.415585577714005
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114996
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,37.551388
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,452
design__max_fanout_violation__count,9
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26580807751666197
clock__skew__worst_setup,0.264046764149432
timing__hold__ws,0.11221135449544303
timing__setup__ws,18.82075171204722
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112211
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,18.820751
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2613
design__instance__area__stdcell,25329.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.739426
design__instance__utilization__stdcell,0.739426
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,44
design__instance__area__class:buffer,220.211
design__instance__count__class:inverter,53
design__instance__area__class:inverter,198.941
design__instance__count__class:sequential_cell,243
design__instance__area__class:sequential_cell,6148.4
design__instance__count__class:multi_input_combinational_cell,1437
design__instance__area__class:multi_input_combinational_cell,14482.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2868
design__instance__area__class:fill_cell,8926.06
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2803.7
design__instance__displacement__mean,1.01
design__instance__displacement__max,47.18
route__wirelength__estimated,52574.8
design__violations,0
design__instance__count__class:timing_repair_buffer,341
design__instance__area__class:timing_repair_buffer,3133
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,35
design__instance__area__class:clock_buffer,506.736
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,66.3136
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,157
global_route__vias,5120
global_route__wirelength,93653
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,2163
route__net__special,2
route__drc_errors__iter:0,853
route__wirelength__iter:0,62587
route__drc_errors__iter:1,339
route__wirelength__iter:1,61906
route__drc_errors__iter:2,294
route__wirelength__iter:2,61601
route__drc_errors__iter:3,0
route__wirelength__iter:3,61611
route__drc_errors,0
route__wirelength,61611
route__vias,15703
route__vias__singlecut,15703
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,393.43
timing__unannotated_net__count__corner:nom_tt_025C_1v80,81
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,81
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,81
