Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,462
design__inferred_latch__count,0
design__instance__count,44616
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,307
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,132
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004792081657797098
power__switching__total,0.0019398153526708484
power__leakage__total,2.430137726605608E-7
power__total,0.006732140202075243
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4248260474760245
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.41403767697371846
timing__hold__ws__corner:nom_tt_025C_1v80,0.39100390698595644
timing__setup__ws__corner:nom_tt_025C_1v80,5.420263502560563
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.391004
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.352447
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2276
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,132
design__max_cap_violation__count__corner:nom_ss_100C_1v60,12
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5188880583186849
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5037452819683456
timing__hold__ws__corner:nom_ss_100C_1v60,1.0015910606615885
timing__setup__ws__corner:nom_ss_100C_1v60,-4.078199227084913
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-27.593784038745007
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.078199227084913
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.001591
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,21
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.383633
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,19
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,85
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,132
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.36825635250203753
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3594630528314074
timing__hold__ws__corner:nom_ff_n40C_1v95,0.15933954606753997
timing__setup__ws__corner:nom_ff_n40C_1v95,6.0570439267523675
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.159340
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.669355
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2557
design__max_fanout_violation__count,132
design__max_cap_violation__count,15
clock__skew__worst_hold,-0.35727813385715135
clock__skew__worst_setup,0.3498251509709067
timing__hold__ws,0.15682788844789597
timing__setup__ws,-4.865874951802442
timing__hold__tns,0.0
timing__setup__tns,-44.80855635586602
timing__hold__wns,0
timing__setup__wns,-4.865874951802442
timing__hold_vio__count,0
timing__hold_r2r__ws,0.156828
timing__hold_r2r_vio__count,0
timing__setup_vio__count,69
timing__setup_r2r__ws,-3.153074
timing__setup_r2r_vio__count,63
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,12688
design__instance__area__stdcell,116825
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.517377
design__instance__utilization__stdcell,0.517377
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,488
design__instance__area__class:buffer,4824.63
design__instance__count__class:inverter,156
design__instance__area__class:inverter,585.562
design__instance__count__class:sequential_cell,1778
design__instance__area__class:sequential_cell,40085.9
design__instance__count__class:multi_input_combinational_cell,4720
design__instance__area__class:multi_input_combinational_cell,45140.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,31928
design__instance__area__class:fill_cell,108977
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7241.77
design__instance__displacement__mean,0.567
design__instance__displacement__max,12.76
route__wirelength__estimated,278100
design__violations,0
design__instance__count__class:timing_repair_buffer,1898
design__instance__area__class:timing_repair_buffer,18271.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,247
design__instance__area__class:clock_buffer,3309.42
design__instance__count__class:clock_inverter,34
design__instance__area__class:clock_inverter,282.771
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1211
global_route__vias,15
global_route__wirelength,454917
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,14
design__instance__count__class:antenna_cell,89
design__instance__area__class:antenna_cell,222.714
route__net,9222
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,318937
route__drc_errors__iter:1,3
route__wirelength__iter:1,318920
route__drc_errors__iter:2,6
route__wirelength__iter:2,318914
route__drc_errors__iter:3,0
route__wirelength__iter:3,318913
route__drc_errors__iter:4,0
route__wirelength__iter:4,318932
route__drc_errors,0
route__wirelength,318913
route__vias,67439
route__vias__singlecut,67439
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,881.39
timing__unannotated_net__count__corner:nom_tt_025C_1v80,124
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,124
