Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,27
design__inferred_latch__count,0
design__instance__count,100600
design__instance__area,518507
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3077
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,261
design__max_cap_violation__count__corner:nom_tt_025C_1v80,17
power__internal__total,0.011940007098019123
power__switching__total,0.0054159583523869514
power__leakage__total,5.643799454446707E-7
power__total,0.01735652983188629
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.44661406392819786
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.31525469238550186
timing__hold__ws__corner:nom_tt_025C_1v80,0.300697253385875
timing__setup__ws__corner:nom_tt_025C_1v80,4.876064134921411
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.300697
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.127519
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,12326
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,261
design__max_cap_violation__count__corner:nom_ss_100C_1v60,145
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5559266537799376
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3546978089414922
timing__hold__ws__corner:nom_ss_100C_1v60,0.8178233877146491
timing__setup__ws__corner:nom_ss_100C_1v60,-4.229788194976041
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-251.44090188303824
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.229788194976041
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.817823
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,136
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.229788
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,135
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1391
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,261
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3757409767453789
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29646050342620384
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09614964652163231
timing__setup__ws__corner:nom_ff_n40C_1v95,5.161891504784117
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.096150
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.004837
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,13846
design__max_fanout_violation__count,261
design__max_cap_violation__count,180
clock__skew__worst_hold,-0.3641606841372107
clock__skew__worst_setup,0.292773674701758
timing__hold__ws,0.09214074208863376
timing__setup__ws,-5.159908202316836
timing__hold__tns,0.0
timing__setup__tns,-359.96769606178344
timing__hold__wns,0
timing__setup__wns,-5.159908202316836
timing__hold_vio__count,0
timing__hold_r2r__ws,0.092141
timing__hold_r2r_vio__count,0
timing__setup_vio__count,398
timing__setup_r2r__ws,-5.159908
timing__setup_r2r_vio__count,395
design__die__bbox,0.0 0.0 1030.4 511.36
design__core__bbox,2.76 2.72 1027.64 508.64
design__io,45
design__die__area,526905
design__core__area,518507
design__instance__count__stdcell,34697
design__instance__area__stdcell,297333
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.57344
design__instance__utilization__stdcell,0.57344
design__rows,186
design__rows:unithd,186
design__sites,414408
design__sites:unithd,414408
design__instance__count__class:buffer,11
design__instance__area__class:buffer,55.0528
design__instance__count__class:inverter,460
design__instance__area__class:inverter,1729.16
design__instance__count__class:sequential_cell,3466
design__instance__area__class:sequential_cell,73723.2
design__instance__count__class:multi_input_combinational_cell,17368
design__instance__area__class:multi_input_combinational_cell,157944
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,65903
design__instance__area__class:fill_cell,221175
design__instance__count__class:tap_cell,7426
design__instance__area__class:tap_cell,9291.41
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14795.3
design__instance__displacement__mean,0.43
design__instance__displacement__max,43.343
route__wirelength__estimated,1.13822E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4684
design__instance__area__class:timing_repair_buffer,44790.5
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,526
design__instance__area__class:clock_buffer,7611.05
design__instance__count__class:clock_inverter,43
design__instance__area__class:clock_inverter,404.138
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1796
global_route__vias,106
global_route__wirelength,1760479
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,201
design__instance__count__class:antenna_cell,713
design__instance__area__class:antenna_cell,1784.21
route__net,26426
route__net__special,2
route__drc_errors__iter:0,310
route__wirelength__iter:0,1315392
route__drc_errors__iter:1,74
route__wirelength__iter:1,1315320
route__drc_errors__iter:2,55
route__wirelength__iter:2,1315288
route__drc_errors__iter:3,9
route__wirelength__iter:3,1315270
route__drc_errors__iter:4,8
route__wirelength__iter:4,1315270
route__drc_errors__iter:5,8
route__wirelength__iter:5,1315270
route__drc_errors__iter:6,0
route__wirelength__iter:6,1315290
route__drc_errors__iter:7,8
route__wirelength__iter:7,1314284
route__drc_errors__iter:8,0
route__wirelength__iter:8,1314303
route__drc_errors,0
route__wirelength,1315290
route__vias,227722
route__vias__singlecut,227722
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:GRT-0243,1
