Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,21
design__inferred_latch__count,0
design__instance__count,3410
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0001443552755517885
power__switching__total,0.000047407898819074035
power__leakage__total,1.6879701192351604E-8
power__total,0.00019178005459252745
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2534707238065907
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2541207871614694
timing__hold__ws__corner:nom_tt_025C_1v80,0.32657055761730147
timing__setup__ws__corner:nom_tt_025C_1v80,7.1753724992642
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.326571
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.860947
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,120
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25677519171054175
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2573898111943569
timing__hold__ws__corner:nom_ss_100C_1v60,0.8540732807169021
timing__setup__ws__corner:nom_ss_100C_1v60,-0.7543619276092379
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.9430518854973672
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.7543619276092379
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.854073
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.646288
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.253048394956079
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25371300223299165
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12001844302540668
timing__setup__ws__corner:nom_ff_n40C_1v95,10.374226216163315
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120018
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.963844
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,136
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2528250458327833
clock__skew__worst_setup,0.2532757686379528
timing__hold__ws,0.11707768419460922
timing__setup__ws,-0.9369447705107881
timing__hold__tns,0.0
timing__setup__tns,-1.3215704460398843
timing__hold__wns,0
timing__setup__wns,-0.9369447705107881
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117078
timing__hold_r2r_vio__count,0
timing__setup_vio__count,7
timing__setup_r2r__ws,11.523477
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1031
design__instance__area__stdcell,8366.77
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.507283
design__instance__utilization__stdcell,0.507283
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,21
design__instance__area__class:inverter,78.8256
design__instance__count__class:sequential_cell,41
design__instance__area__class:sequential_cell,902.115
design__instance__count__class:multi_input_combinational_cell,691
design__instance__area__class:multi_input_combinational_cell,6553.79
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2379
design__instance__area__class:fill_cell,8126.54
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,54.02
design__instance__displacement__mean,0.048
design__instance__displacement__max,5.843
route__wirelength__estimated,15984.4
design__violations,0
design__instance__count__class:timing_repair_buffer,44
design__instance__area__class:timing_repair_buffer,405.389
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,6
design__instance__area__class:clock_buffer,132.627
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,6
global_route__vias,1651
global_route__wirelength,28000
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,823
route__net__special,2
route__drc_errors__iter:0,270
route__wirelength__iter:0,17891
route__drc_errors__iter:1,128
route__wirelength__iter:1,17701
route__drc_errors__iter:2,105
route__wirelength__iter:2,17696
route__drc_errors__iter:3,0
route__wirelength__iter:3,17690
route__drc_errors,0
route__wirelength,17690
route__vias,5571
route__vias__singlecut,5571
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,264.72
timing__unannotated_net__count__corner:nom_tt_025C_1v80,34
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,34
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,34
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
