Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,10
design__inferred_latch__count,0
design__instance__count,7768
design__instance__area,56352.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,10
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,265
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00043404061580076814
power__switching__total,0.00017304766515735537
power__leakage__total,5.3677069900004426E-8
power__total,0.0006071419338695705
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3272480434816639
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.33200140798487965
timing__hold__ws__corner:nom_tt_025C_1v80,0.3188450704819556
timing__setup__ws__corner:nom_tt_025C_1v80,28.249762440021588
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318845
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,49.027683
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,110
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,265
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.35230006020739635
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3540810800338707
timing__hold__ws__corner:nom_ss_100C_1v60,0.8780808551026795
timing__setup__ws__corner:nom_ss_100C_1v60,26.934839121462733
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.878081
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,48.098347
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,265
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.30586076204156254
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.30887523968328
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11184709031076143
timing__setup__ws__corner:nom_ff_n40C_1v95,28.747224081537446
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111847
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,49.327011
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,125
design__max_fanout_violation__count,265
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2994339583260012
clock__skew__worst_setup,0.3023578972774999
timing__hold__ws,0.11001339040027872
timing__setup__ws,26.886582610198797
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110013
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,48.095154
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,7768
design__instance__area__stdcell,56352.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.776588
design__instance__utilization__stdcell,0.776588
design__instance__count__class:buffer,3
design__instance__count__class:inverter,72
design__instance__count__class:sequential_cell,713
design__instance__count__class:multi_input_combinational_cell,2686
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3079
design__instance__count__class:tap_cell,1037
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,21063.6
design__instance__displacement__mean,2.656
design__instance__displacement__max,138
route__wirelength__estimated,116895
design__violations,0
design__instance__count__class:timing_repair_buffer,831
design__instance__count__class:clock_buffer,65
design__instance__count__class:clock_inverter,54
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,479
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
design__instance__count__class:antenna_cell,2307
route__net,4389
route__net__special,2
route__drc_errors__iter:1,3775
route__wirelength__iter:1,145447
route__drc_errors__iter:2,1803
route__wirelength__iter:2,144218
route__drc_errors__iter:3,1894
route__wirelength__iter:3,144036
route__drc_errors__iter:4,442
route__wirelength__iter:4,143643
route__drc_errors__iter:5,144
route__wirelength__iter:5,143620
route__drc_errors__iter:6,44
route__wirelength__iter:6,143590
route__drc_errors__iter:7,8
route__wirelength__iter:7,143609
route__drc_errors__iter:8,5
route__wirelength__iter:8,143633
route__drc_errors__iter:9,0
route__wirelength__iter:9,143632
route__drc_errors,0
route__wirelength,143632
route__vias,39505
route__vias__singlecut,39505
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,580.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,83
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,83
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,83
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,265
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.317763518936353
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3220586943843475
timing__hold__ws__corner:min_tt_025C_1v80,0.3145152005634604
timing__setup__ws__corner:min_tt_025C_1v80,28.2805182832088
timing__hold__tns__corner:min_tt_025C_1v80,0.0
