Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,36
design__inferred_latch__count,0
design__instance__count,10474
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,77
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,36
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0054319025948643684
power__switching__total,0.004137076903134584
power__leakage__total,7.385358458122937E-8
power__total,0.009569053538143635
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28296957244977045
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2833265091622823
timing__hold__ws__corner:nom_tt_025C_1v80,0.3274149932737136
timing__setup__ws__corner:nom_tt_025C_1v80,9.518335722348313
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327415
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.845138
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,961
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,36
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.30104306011225024
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.30245348748262363
timing__hold__ws__corner:nom_ss_100C_1v60,0.8901966082907683
timing__setup__ws__corner:nom_ss_100C_1v60,3.8831623460301032
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.890197
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.973556
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,36
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2741036086801235
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27446098948185776
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1162212026180392
timing__setup__ws__corner:nom_ff_n40C_1v95,11.678554454053918
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116221
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.977348
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1124
design__max_fanout_violation__count,36
design__max_cap_violation__count,5
clock__skew__worst_hold,-0.27142086568754614
clock__skew__worst_setup,0.2716743296112365
timing__hold__ws,0.11308887479892472
timing__setup__ws,3.5503121447633164
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113089
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.850986
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5890
design__instance__area__stdcell,58548.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.806849
design__instance__utilization__stdcell,0.806849
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,4
design__instance__area__class:buffer,18.768
design__instance__count__class:inverter,318
design__instance__area__class:inverter,1313.76
design__instance__count__class:sequential_cell,696
design__instance__area__class:sequential_cell,18287.5
design__instance__count__class:multi_input_combinational_cell,2918
design__instance__area__class:multi_input_combinational_cell,28504.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,4584
design__instance__area__class:fill_cell,14015.9
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,23897.3
design__instance__displacement__mean,3.968
design__instance__displacement__max,161.32
route__wirelength__estimated,141349
design__violations,0
design__instance__count__class:timing_repair_buffer,774
design__instance__area__class:timing_repair_buffer,7449.64
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,100
design__instance__area__class:clock_buffer,1390.08
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,208.95
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,430
global_route__vias,31
global_route__wirelength,261061
flow__warnings__count:GRT-0115,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,31
design__instance__area__class:antenna_cell,77.5744
route__net,4800
route__net__special,2
route__drc_errors__iter:0,213
route__wirelength__iter:0,168718
route__drc_errors__iter:1,68
route__wirelength__iter:1,168645
route__drc_errors__iter:2,30
route__wirelength__iter:2,168653
route__drc_errors__iter:3,3
route__wirelength__iter:3,168639
route__drc_errors__iter:4,3
route__wirelength__iter:4,168639
route__drc_errors__iter:5,0
route__wirelength__iter:5,168646
route__drc_errors__iter:6,3
route__wirelength__iter:6,168683
route__drc_errors__iter:7,3
route__wirelength__iter:7,168683
route__drc_errors__iter:8,0
route__wirelength__iter:8,168687
route__drc_errors,0
route__wirelength,168646
route__vias,38351
route__vias__singlecut,38351
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,563.17
