Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,37
design__inferred_latch__count,0
design__instance__count,11789
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,53
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,24
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.005309975706040859
power__switching__total,0.003840244375169277
power__leakage__total,7.277627389612462E-8
power__total,0.009150292724370956
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2761212725509895
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2762684326170655
timing__hold__ws__corner:nom_tt_025C_1v80,0.3105408240675042
timing__setup__ws__corner:nom_tt_025C_1v80,10.179752440242522
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.310541
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.884924
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,683
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,24
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29039968474106104
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29083788978127384
timing__hold__ws__corner:nom_ss_100C_1v60,0.8378559194706368
timing__setup__ws__corner:nom_ss_100C_1v60,5.040304316580548
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.837856
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.784374
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,24
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2695588550891348
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.269703739197946
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10840256776829289
timing__setup__ws__corner:nom_ff_n40C_1v95,12.093705934553016
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108403
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.901091
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,807
design__max_fanout_violation__count,24
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2669873009356183
clock__skew__worst_setup,0.26707878331543466
timing__hold__ws,0.1072565955298645
timing__setup__ws,4.746482452536021
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107257
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.629616
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5376
design__instance__area__stdcell,51922.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.715532
design__instance__utilization__stdcell,0.715532
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,4
design__instance__area__class:buffer,18.768
design__instance__count__class:inverter,299
design__instance__area__class:inverter,1242.44
design__instance__count__class:sequential_cell,582
design__instance__area__class:sequential_cell,15292.2
design__instance__count__class:multi_input_combinational_cell,2688
design__instance__area__class:multi_input_combinational_cell,26277.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,6413
design__instance__area__class:fill_cell,20642.3
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5581.46
design__instance__displacement__mean,1.007
design__instance__displacement__max,40.12
route__wirelength__estimated,96360.4
design__violations,0
design__instance__count__class:timing_repair_buffer,671
design__instance__area__class:timing_repair_buffer,6432.42
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,83
design__instance__area__class:clock_buffer,1193.64
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,167.661
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,345
global_route__vias,29945
global_route__wirelength,172065
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,4326
route__net__special,2
route__drc_errors__iter:0,1323
route__wirelength__iter:0,106208
route__drc_errors__iter:1,351
route__wirelength__iter:1,104878
route__drc_errors__iter:2,337
route__wirelength__iter:2,104704
route__drc_errors__iter:3,3
route__wirelength__iter:3,104682
route__drc_errors__iter:4,0
route__wirelength__iter:4,104682
route__drc_errors,0
route__wirelength,104682
route__vias,29887
route__vias__singlecut,29887
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,547.735
timing__unannotated_net__count__corner:nom_tt_025C_1v80,55
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,55
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,55
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
