Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,3152
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,35
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00022139809152577072
power__switching__total,0.0000984965154202655
power__leakage__total,1.6549689618727825E-8
power__total,0.0003199111670255661
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2693532417791591
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2679045672245056
timing__hold__ws__corner:nom_tt_025C_1v80,0.3553517025659142
timing__setup__ws__corner:nom_tt_025C_1v80,8.232231129788516
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.355352
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.338366
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,481
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2846121474611586
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.281238013060442
timing__hold__ws__corner:nom_ss_100C_1v60,0.9137583170972463
timing__setup__ws__corner:nom_ss_100C_1v60,0.7518750279637432
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.913758
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.115578
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2640176763053642
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2637028448022521
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12562223838953707
timing__setup__ws__corner:nom_ff_n40C_1v95,11.057485906550971
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.125622
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,573
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26310102063915763
clock__skew__worst_setup,0.26214581247733065
timing__hold__ws,0.12191403787126276
timing__setup__ws,0.48923178004616086
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121914
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.768750
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1360
design__instance__area__stdcell,10702.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.648915
design__instance__utilization__stdcell,0.648915
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,29
design__instance__area__class:inverter,108.854
design__instance__count__class:sequential_cell,44
design__instance__area__class:sequential_cell,935.898
design__instance__count__class:multi_input_combinational_cell,934
design__instance__area__class:multi_input_combinational_cell,8090.26
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1792
design__instance__area__class:fill_cell,5790.55
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1145.58
design__instance__displacement__mean,0.802
design__instance__displacement__max,66.92
route__wirelength__estimated,39549.6
design__violations,0
design__instance__count__class:timing_repair_buffer,101
design__instance__area__class:timing_repair_buffer,988.448
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,13
design__instance__area__class:clock_buffer,255.245
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,16
global_route__vias,77
global_route__wirelength,68468
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,11
design__instance__area__class:antenna_cell,27.5264
route__net,1139
route__net__special,2
route__drc_errors__iter:0,197
route__wirelength__iter:0,47407
route__drc_errors__iter:1,40
route__wirelength__iter:1,47370
route__drc_errors__iter:2,16
route__wirelength__iter:2,47366
route__drc_errors__iter:3,0
route__wirelength__iter:3,47365
route__drc_errors__iter:4,32
route__wirelength__iter:4,47327
route__drc_errors__iter:5,16
route__wirelength__iter:5,47347
route__drc_errors__iter:6,2
route__wirelength__iter:6,47345
route__drc_errors__iter:7,2
route__wirelength__iter:7,47345
route__drc_errors__iter:8,0
route__wirelength__iter:8,47353
route__drc_errors,0
route__wirelength,47365
route__vias,10470
route__vias__singlecut,10470
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,242.43
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
