Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,89
design__inferred_latch__count,0
design__instance__count,10823
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,534
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009550385875627398
power__switching__total,0.0005389154539443552
power__leakage__total,6.850126510471455E-8
power__total,0.0014940225519239902
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2908488254783757
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2990603127564962
timing__hold__ws__corner:nom_tt_025C_1v80,0.3562172879715437
timing__setup__ws__corner:nom_tt_025C_1v80,9.243183369213892
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.356217
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.126889
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1796
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,20
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.31655842732019135
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.328187458720519
timing__hold__ws__corner:nom_ss_100C_1v60,0.9194816279733578
timing__setup__ws__corner:nom_ss_100C_1v60,-0.4962679296860211
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.9903367295426692
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.4962679296860211
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.919482
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.496268
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,2
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,150
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27797062660656213
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28473496588673125
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1290020904389922
timing__setup__ws__corner:nom_ff_n40C_1v95,11.674348929117699
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.129002
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.869038
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1966
design__max_fanout_violation__count,10
design__max_cap_violation__count,28
clock__skew__worst_hold,-0.2759955120343183
clock__skew__worst_setup,0.2821192526111614
timing__hold__ws,0.125172376007236
timing__setup__ws,-0.8322445190785726
timing__hold__tns,0.0
timing__setup__tns,-1.6618191737520176
timing__hold__wns,0
timing__setup__wns,-0.8322445190785726
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125172
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,-0.832245
timing__setup_r2r_vio__count,6
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,6520
design__instance__area__stdcell,60634.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.835592
design__instance__utilization__stdcell,0.835592
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,231
design__instance__area__class:inverter,867.082
design__instance__count__class:sequential_cell,660
design__instance__area__class:sequential_cell,16075.4
design__instance__count__class:multi_input_combinational_cell,3989
design__instance__area__class:multi_input_combinational_cell,36537.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,4303
design__instance__area__class:fill_cell,11930.2
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4524.32
design__instance__displacement__mean,0.679
design__instance__displacement__max,95.18
route__wirelength__estimated,138129
design__violations,0
design__instance__count__class:timing_repair_buffer,540
design__instance__area__class:timing_repair_buffer,5204.99
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,33
design__instance__area__class:clock_buffer,491.722
design__instance__count__class:clock_inverter,8
design__instance__area__class:clock_inverter,100.096
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,65
global_route__vias,15196
global_route__wirelength,246005
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,20
design__instance__count__class:antenna_cell,20
design__instance__area__class:antenna_cell,50.048
route__net,5469
route__net__special,2
route__drc_errors__iter:0,4439
route__wirelength__iter:0,164613
route__drc_errors__iter:1,2648
route__wirelength__iter:1,162833
route__drc_errors__iter:2,2544
route__wirelength__iter:2,162580
route__drc_errors__iter:3,549
route__wirelength__iter:3,161955
route__drc_errors__iter:4,15
route__wirelength__iter:4,161939
route__drc_errors__iter:5,7
route__wirelength__iter:5,161936
route__drc_errors__iter:6,7
route__wirelength__iter:6,161936
route__drc_errors__iter:7,1
route__wirelength__iter:7,161933
route__drc_errors__iter:8,1
route__wirelength__iter:8,161933
route__drc_errors__iter:9,0
route__wirelength__iter:9,161974
route__drc_errors,0
route__wirelength,161974
route__vias,44111
route__vias__singlecut,44111
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
