Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,44418
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006456279661506414
power__switching__total,0.00024019787088036537
power__leakage__total,2.4601567361060006E-7
power__total,0.000886071880813688
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4418151802796852
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.7406771516872226
timing__hold__ws__corner:nom_tt_025C_1v80,0.28879011111001324
timing__setup__ws__corner:nom_tt_025C_1v80,78.395063326568
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.288790
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,82.189621
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6165474971742048
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.9154410266721097
timing__hold__ws__corner:nom_ss_100C_1v60,0.8172234231751736
timing__setup__ws__corner:nom_ss_100C_1v60,59.04916900359368
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.817223
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,65.583282
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3669289975718312
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6657773409913559
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10858575457253693
timing__setup__ws__corner:nom_ff_n40C_1v95,85.48697636190785
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108586
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,88.381378
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3607725331704118
clock__skew__worst_setup,0.6599534439063687
timing__hold__ws,0.10704787359533191
timing__setup__ws,58.62948337213378
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107048
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,65.163803
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,17415
design__instance__area__stdcell,137163
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.607448
design__instance__utilization__stdcell,0.607448
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:inverter,236
design__instance__area__class:inverter,885.85
design__instance__count__class:sequential_cell,1109
design__instance__area__class:sequential_cell,23596.4
design__instance__count__class:multi_input_combinational_cell,9059
design__instance__area__class:multi_input_combinational_cell,82704.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,27003
design__instance__area__class:fill_cell,88638.8
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1958.38
design__instance__displacement__mean,0.111
design__instance__displacement__max,16.56
route__wirelength__estimated,261726
design__violations,0
design__instance__count__class:timing_repair_buffer,3630
design__instance__area__class:timing_repair_buffer,24419.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,80
design__instance__area__class:clock_buffer,1183.64
design__instance__count__class:clock_inverter,21
design__instance__area__class:clock_inverter,266.506
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,869
global_route__vias,22
global_route__wirelength,428165
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,1
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,14130
route__net__special,2
route__drc_errors__iter:0,15
route__wirelength__iter:0,277429
route__drc_errors__iter:1,0
route__wirelength__iter:1,277425
route__drc_errors__iter:2,1580
route__wirelength__iter:2,277838
route__drc_errors__iter:3,25
route__wirelength__iter:3,277436
route__drc_errors__iter:4,0
route__wirelength__iter:4,277427
route__drc_errors,0
route__wirelength,277425
route__vias,85472
route__vias__singlecut,85472
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,574.59
timing__unannotated_net__count__corner:nom_tt_025C_1v80,40
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,40
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
