Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1666
design__instance__area,14619
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00006211881554918364
power__switching__total,0.000040613191231386736
power__leakage__total,1.2194408149923675E-8
power__total,0.00010274420492351055
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25143560167816875
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25143560167816875
timing__hold__ws__corner:nom_tt_025C_1v80,0.32835451953487427
timing__setup__ws__corner:nom_tt_025C_1v80,22.260188988829935
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328355
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,38.516926
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,44
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2513655188477572
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2513655188477572
timing__hold__ws__corner:nom_ss_100C_1v60,0.9069471541596894
timing__setup__ws__corner:nom_ss_100C_1v60,12.705426403924239
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.906947
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,37.271091
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2514634960324514
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2514634960324514
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12162282636366756
timing__setup__ws__corner:nom_ff_n40C_1v95,25.76134223302938
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.121623
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,38.962681
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,52
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25089817045232377
clock__skew__worst_setup,0.25089817045232377
timing__hold__ws,0.11768025775826647
timing__setup__ws,12.315659951556528
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117680
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,37.237736
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1666
design__instance__area__stdcell,14619
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.88636
design__instance__utilization__stdcell,0.88636
design__instance__count__class:buffer,2
design__instance__count__class:inverter,20
design__instance__count__class:sequential_cell,169
design__instance__count__class:multi_input_combinational_cell,1081
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,601
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,40162.5
design__violations,0
design__instance__count__class:timing_repair_buffer,157
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,4
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,8
design__instance__count__class:antenna_cell,8
route__net,1451
route__net__special,2
route__drc_errors__iter:1,1733
route__wirelength__iter:1,51036
route__drc_errors__iter:2,1463
route__wirelength__iter:2,50771
route__drc_errors__iter:3,1214
route__wirelength__iter:3,50626
route__drc_errors__iter:4,436
route__wirelength__iter:4,50421
route__drc_errors__iter:5,131
route__wirelength__iter:5,50349
route__drc_errors__iter:6,75
route__wirelength__iter:6,50350
route__drc_errors__iter:7,45
route__wirelength__iter:7,50393
route__drc_errors__iter:8,24
route__wirelength__iter:8,50393
route__drc_errors__iter:9,24
route__wirelength__iter:9,50393
route__drc_errors__iter:10,11
route__wirelength__iter:10,50386
route__drc_errors__iter:11,4
route__wirelength__iter:11,50381
route__drc_errors__iter:12,0
route__wirelength__iter:12,50380
route__drc_errors,0
route__wirelength,50380
route__vias,13220
route__vias__singlecut,13220
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,382.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2510746681626552
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25094718680024725
