Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2735
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,44
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.01004759781062603
power__switching__total,0.010997382923960686
power__leakage__total,1.7262225426861733E-8
power__total,0.02104499749839306
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26182867726137726
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26182867726137726
timing__hold__ws__corner:nom_tt_025C_1v80,0.3302828104497303
timing__setup__ws__corner:nom_tt_025C_1v80,0.501534827863801
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.330283
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,468
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2695004018452351
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2695004018452351
timing__hold__ws__corner:nom_ss_100C_1v60,0.9158951634131764
timing__setup__ws__corner:nom_ss_100C_1v60,-9.132178827180347
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-55.25136060611074
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-9.132178827180347
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.915895
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,8
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25925862190898635
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25925862190898635
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11707757317230362
timing__setup__ws__corner:nom_ff_n40C_1v95,4.219264612672597
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.117078
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,517
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2582319708935042
clock__skew__worst_setup,0.2582319708935042
timing__hold__ws,0.11446494076571417
timing__setup__ws,-9.442330740111327
timing__hold__tns,0.0
timing__setup__tns,-57.63262030737857
timing__hold__wns,0
timing__setup__wns,-9.442330740111327
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114465
timing__hold_r2r_vio__count,0
timing__setup_vio__count,26
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1451
design__instance__area__stdcell,12519.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.759065
design__instance__utilization__stdcell,0.759065
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,30
design__instance__area__class:inverter,115.11
design__instance__count__class:sequential_cell,36
design__instance__area__class:sequential_cell,823.29
design__instance__count__class:multi_input_combinational_cell,980
design__instance__area__class:multi_input_combinational_cell,9756.86
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1284
design__instance__area__class:fill_cell,3973.81
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4162.51
design__instance__displacement__mean,2.724
design__instance__displacement__max,52.44
route__wirelength__estimated,37428.9
design__violations,0
design__instance__count__class:timing_repair_buffer,169
design__instance__area__class:timing_repair_buffer,1382.58
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,8
design__instance__area__class:clock_buffer,147.642
design__instance__count__setup_buffer,53
design__instance__count__hold_buffer,4
flow__warnings__count:RSZ-0062,1
global_route__vias,3335
global_route__wirelength,65522
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,1241
route__net__special,2
route__drc_errors__iter:0,1333
route__wirelength__iter:0,44895
route__drc_errors__iter:1,1039
route__wirelength__iter:1,44441
route__drc_errors__iter:2,759
route__wirelength__iter:2,44167
route__drc_errors__iter:3,110
route__wirelength__iter:3,43973
route__drc_errors__iter:4,12
route__wirelength__iter:4,43973
route__drc_errors__iter:5,7
route__wirelength__iter:5,43974
route__drc_errors__iter:6,7
route__wirelength__iter:6,43974
route__drc_errors__iter:7,0
route__wirelength__iter:7,43982
route__drc_errors,0
route__wirelength,43982
route__vias,10504
route__vias__singlecut,10504
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,266.675
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
