Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,11
design__inferred_latch__count,0
design__instance__count,1538
design__instance__area,11095.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0012229757849127054
power__switching__total,0.0012848824262619019
power__leakage__total,1.1642547370627199E-8
power__total,0.00250786985270679
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25624317282209486
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2556645800764477
timing__hold__ws__corner:nom_tt_025C_1v80,0.3281055520145608
timing__setup__ws__corner:nom_tt_025C_1v80,8.77450315020241
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328106
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.070900
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,92
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.259863166118568
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2594553256789375
timing__hold__ws__corner:nom_ss_100C_1v60,0.8948460004047873
timing__setup__ws__corner:nom_ss_100C_1v60,1.5390524845737281
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.894846
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.311001
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25556901762690043
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2549222849411898
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11259582473974429
timing__setup__ws__corner:nom_ff_n40C_1v95,11.040484394760236
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112596
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.435476
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,97
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25464578388908693
clock__skew__worst_setup,0.2540857873796282
timing__hold__ws,0.11016615709278767
timing__setup__ws,1.2967138840831651
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110166
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.116452
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1538
design__instance__area__stdcell,11095.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.672736
design__instance__utilization__stdcell,0.672736
design__instance__count__class:buffer,3
design__instance__count__class:inverter,40
design__instance__count__class:sequential_cell,63
design__instance__count__class:multi_input_combinational_cell,1082
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,977
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31362.8
design__violations,0
design__instance__count__class:timing_repair_buffer,105
design__instance__count__class:clock_buffer,10
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,12
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
route__net,1321
route__net__special,2
route__drc_errors__iter:1,1564
route__wirelength__iter:1,39831
route__drc_errors__iter:2,1121
route__wirelength__iter:2,39590
route__drc_errors__iter:3,1116
route__wirelength__iter:3,39498
route__drc_errors__iter:4,602
route__wirelength__iter:4,39381
route__drc_errors__iter:5,339
route__wirelength__iter:5,39408
route__drc_errors__iter:6,335
route__wirelength__iter:6,39360
route__drc_errors__iter:7,186
route__wirelength__iter:7,39280
route__drc_errors__iter:8,184
route__wirelength__iter:8,39281
route__drc_errors__iter:9,128
route__wirelength__iter:9,39201
route__drc_errors__iter:10,113
route__wirelength__iter:10,39177
route__drc_errors__iter:11,65
route__wirelength__iter:11,39170
route__drc_errors__iter:12,65
route__wirelength__iter:12,39197
route__drc_errors__iter:13,44
route__wirelength__iter:13,39194
route__drc_errors__iter:14,36
route__wirelength__iter:14,39187
route__drc_errors__iter:15,36
route__wirelength__iter:15,39187
route__drc_errors__iter:16,36
route__wirelength__iter:16,39187
route__drc_errors__iter:17,36
route__wirelength__iter:17,39187
route__drc_errors__iter:18,36
route__wirelength__iter:18,39187
route__drc_errors__iter:19,15
route__wirelength__iter:19,39204
route__drc_errors__iter:20,8
route__wirelength__iter:20,39202
route__drc_errors__iter:21,6
route__wirelength__iter:21,39202
route__drc_errors__iter:22,6
route__wirelength__iter:22,39202
route__drc_errors__iter:23,6
route__wirelength__iter:23,39202
route__drc_errors__iter:24,6
route__wirelength__iter:24,39202
route__drc_errors__iter:25,5
route__wirelength__iter:25,39221
route__drc_errors__iter:26,5
route__wirelength__iter:26,39221
route__drc_errors__iter:27,1
route__wirelength__iter:27,39285
route__drc_errors__iter:28,1
