Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,1609
design__instance__area,12359.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005648289807140827
power__switching__total,0.0002780915529001504
power__leakage__total,1.2689575612512272E-8
power__total,0.0008429331937804818
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26291899956912246
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2636455850481376
timing__hold__ws__corner:nom_tt_025C_1v80,0.30931247327831884
timing__setup__ws__corner:nom_tt_025C_1v80,13.46723215507951
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.309312
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.543777
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,10
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2689354648431771
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.269893642851679
timing__hold__ws__corner:nom_ss_100C_1v60,0.8362601958722129
timing__setup__ws__corner:nom_ss_100C_1v60,7.280291242593841
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.836260
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.280291
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2600155997441602
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26049793615085
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11052803429789883
timing__setup__ws__corner:nom_ff_n40C_1v95,14.2810771694952
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110528
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.654980
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2583074938168902
clock__skew__worst_setup,0.2591383847520189
timing__hold__ws,0.10900847200111821
timing__setup__ws,7.168725371783171
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109008
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.168725
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1609
design__instance__area__stdcell,12359.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.749355
design__instance__utilization__stdcell,0.749355
design__instance__count__class:buffer,2
design__instance__count__class:inverter,70
design__instance__count__class:sequential_cell,144
design__instance__count__class:multi_input_combinational_cell,1032
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,910
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,25461.9
design__violations,0
design__instance__count__class:timing_repair_buffer,106
design__instance__count__class:clock_buffer,21
design__instance__count__class:clock_inverter,9
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,35
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1390
route__net__special,2
route__drc_errors__iter:1,1030
route__wirelength__iter:1,29855
route__drc_errors__iter:2,627
route__wirelength__iter:2,29356
route__drc_errors__iter:3,470
route__wirelength__iter:3,29313
route__drc_errors__iter:4,67
route__wirelength__iter:4,29225
route__drc_errors__iter:5,8
route__wirelength__iter:5,29207
route__drc_errors__iter:6,1
route__wirelength__iter:6,29219
route__drc_errors__iter:7,0
route__wirelength__iter:7,29223
route__drc_errors,0
route__wirelength,29223
route__vias,10469
route__vias__singlecut,10469
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,317.88
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,44
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,8
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26089395271493393
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26196925925584635
timing__hold__ws__corner:min_tt_025C_1v80,0.3063955287320731
timing__setup__ws__corner:min_tt_025C_1v80,13.50967376206521
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
