Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,30
design__inferred_latch__count,0
design__instance__count,953
design__instance__area,6055.81
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00009040275472216308
power__switching__total,0.00002935099837486632
power__leakage__total,6.819488529430373E-9
power__total,0.00011976056703133509
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25501429467695785
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25635191917043243
timing__hold__ws__corner:nom_tt_025C_1v80,0.3687183995823785
timing__setup__ws__corner:nom_tt_025C_1v80,7.4391890309073885
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.368718
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.252134
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25877975494934663
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2600393030064063
timing__hold__ws__corner:nom_ss_100C_1v60,0.9889054299788425
timing__setup__ws__corner:nom_ss_100C_1v60,-0.5028564373896924
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-1.0315553148098537
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.5028564373896924
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.988905
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,5
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.317746
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25383665332585637
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2552023109514956
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13240542370608221
timing__setup__ws__corner:nom_ff_n40C_1v95,10.672695029831138
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.132405
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.791420
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2533148484895249
clock__skew__worst_setup,0.2542655047368222
timing__hold__ws,0.12874252028849367
timing__setup__ws,-0.6029683589759702
timing__hold__tns,0.0
timing__setup__tns,-1.5215633628167868
timing__hold__wns,0
timing__setup__wns,-0.6029683589759702
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128743
timing__hold_r2r_vio__count,0
timing__setup_vio__count,15
timing__setup_r2r__ws,13.206613
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,953
design__instance__area__stdcell,6055.81
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.367167
design__instance__utilization__stdcell,0.367167
design__instance__count__class:buffer,6
design__instance__count__class:inverter,33
design__instance__count__class:sequential_cell,38
design__instance__count__class:multi_input_combinational_cell,602
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1330
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,13254.7
design__violations,0
design__instance__count__class:timing_repair_buffer,45
design__instance__count__class:clock_buffer,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,746
route__net__special,2
route__drc_errors__iter:1,397
route__wirelength__iter:1,15051
route__drc_errors__iter:2,141
route__wirelength__iter:2,14920
route__drc_errors__iter:3,193
route__wirelength__iter:3,14851
route__drc_errors__iter:4,7
route__wirelength__iter:4,14792
route__drc_errors__iter:5,0
route__wirelength__iter:5,14784
route__drc_errors,0
route__wirelength,14784
route__vias,5033
route__vias__singlecut,5033
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,175.98
timing__unannotated_net__count__corner:nom_tt_025C_1v80,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,30
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,30
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25434749470950957
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25527661262952
timing__hold__ws__corner:min_tt_025C_1v80,0.36129705805323054
timing__setup__ws__corner:min_tt_025C_1v80,7.509679313180491
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.361297
