Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,2953
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003942279436159879
power__switching__total,0.00013023012434132397
power__leakage__total,1.776817271093023E-8
power__total,0.0005244758212938905
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.264128310032897
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26555383643683234
timing__hold__ws__corner:nom_tt_025C_1v80,0.33121456514949876
timing__setup__ws__corner:nom_tt_025C_1v80,12.160901962974282
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.331215
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.160902
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,157
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27050221161983873
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27699585076337274
timing__hold__ws__corner:nom_ss_100C_1v60,0.8672121044511174
timing__setup__ws__corner:nom_ss_100C_1v60,4.621620550406402
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.867212
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.621621
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2615665813534263
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26129277259223427
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11192652677041998
timing__setup__ws__corner:nom_ff_n40C_1v95,14.175770292185174
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111927
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,185
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2594999566457897
clock__skew__worst_setup,0.25980751618788483
timing__hold__ws,0.10974632624415204
timing__setup__ws,4.460766104978918
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109746
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.460766
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1216
design__instance__area__stdcell,10850.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.657867
design__instance__utilization__stdcell,0.657867
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,27
design__instance__area__class:inverter,101.347
design__instance__count__class:sequential_cell,115
design__instance__area__class:sequential_cell,2446.1
design__instance__count__class:multi_input_combinational_cell,705
design__instance__area__class:multi_input_combinational_cell,6558.79
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1737
design__instance__area__class:fill_cell,5642.91
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,783.187
design__instance__displacement__mean,0.605
design__instance__displacement__max,30.24
route__wirelength__estimated,22586
design__violations,0
design__instance__count__class:timing_repair_buffer,112
design__instance__area__class:timing_repair_buffer,1082.29
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,19
design__instance__area__class:clock_buffer,266.506
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,108.854
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,56
global_route__vias,7075
global_route__wirelength,40523
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,996
route__net__special,2
route__drc_errors__iter:0,489
route__wirelength__iter:0,25639
route__drc_errors__iter:1,187
route__wirelength__iter:1,25356
route__drc_errors__iter:2,150
route__wirelength__iter:2,25315
route__drc_errors__iter:3,33
route__wirelength__iter:3,25313
route__drc_errors__iter:4,0
route__wirelength__iter:4,25311
route__drc_errors,0
route__wirelength,25311
route__vias,7256
route__vias__singlecut,7256
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,291.61
timing__unannotated_net__count__corner:nom_tt_025C_1v80,53
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,53
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,53
