Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,2838
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0020713885314762592
power__switching__total,0.0017578053520992398
power__leakage__total,1.766611035236565E-8
power__total,0.003829211462289095
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2656866468699093
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.260844492277788
timing__hold__ws__corner:nom_tt_025C_1v80,0.31286346621186006
timing__setup__ws__corner:nom_tt_025C_1v80,14.237039505844159
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312863
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.914680
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,76
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27384026377123455
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26806499445610116
timing__hold__ws__corner:nom_ss_100C_1v60,0.8329966951990291
timing__setup__ws__corner:nom_ss_100C_1v60,9.872726915437308
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.832997
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.872726
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.262362416995561
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25830818770630026
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11986267873064645
timing__setup__ws__corner:nom_ff_n40C_1v95,14.77344155491624
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119863
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.782076
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,98
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26066979867992257
clock__skew__worst_setup,0.256969341967464
timing__hold__ws,0.11678008890444189
timing__setup__ws,9.787512410905988
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116780
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.787513
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1247
design__instance__area__stdcell,11319.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.686315
design__instance__utilization__stdcell,0.686315
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,3.7536
design__instance__count__class:inverter,21
design__instance__area__class:inverter,78.8256
design__instance__count__class:sequential_cell,114
design__instance__area__class:sequential_cell,2424.83
design__instance__count__class:multi_input_combinational_cell,735
design__instance__area__class:multi_input_combinational_cell,7017.98
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1591
design__instance__area__class:fill_cell,5173.71
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,871.375
design__instance__displacement__mean,0.657
design__instance__displacement__max,24.84
route__wirelength__estimated,18385.6
design__violations,0
design__instance__count__class:timing_repair_buffer,119
design__instance__area__class:timing_repair_buffer,1131.08
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,18
design__instance__area__class:clock_buffer,252.742
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,128.874
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,52
global_route__vias,6709
global_route__wirelength,33299
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1026
route__net__special,2
route__drc_errors__iter:0,329
route__wirelength__iter:0,19693
route__drc_errors__iter:1,96
route__wirelength__iter:1,19398
route__drc_errors__iter:2,71
route__wirelength__iter:2,19326
route__drc_errors__iter:3,0
route__wirelength__iter:3,19304
route__drc_errors,0
route__wirelength,19304
route__vias,6599
route__vias__singlecut,6599
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,244.855
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
