Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,3782
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002912891795858741
power__switching__total,0.00013183760165702552
power__leakage__total,1.7080836300920055E-8
power__total,0.00042314387974329293
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2571675722941172
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2571041508020418
timing__hold__ws__corner:nom_tt_025C_1v80,0.323947322580527
timing__setup__ws__corner:nom_tt_025C_1v80,12.645093330346093
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323947
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.377089
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,71
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2617084678599862
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26164618434654324
timing__hold__ws__corner:nom_ss_100C_1v60,0.9024464764240249
timing__setup__ws__corner:nom_ss_100C_1v60,8.589606602452106
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902446
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.589606
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25574262875728626
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25567870766483564
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11246637273141184
timing__setup__ws__corner:nom_ff_n40C_1v95,13.749515692947385
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112466
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.091074
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,98
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2551399719268998
clock__skew__worst_setup,0.25512340184778864
timing__hold__ws,0.11012463475049236
timing__setup__ws,8.483074038888226
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110125
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.483074
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,684
design__instance__area__stdcell,5559.08
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.337051
design__instance__utilization__stdcell,0.337051
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,8
design__instance__area__class:inverter,30.0288
design__instance__count__class:sequential_cell,62
design__instance__area__class:sequential_cell,1318.76
design__instance__count__class:multi_input_combinational_cell,313
design__instance__area__class:multi_input_combinational_cell,3076.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3098
design__instance__area__class:fill_cell,10934.2
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,236.632
design__instance__displacement__mean,0.31
design__instance__displacement__max,8.247
route__wirelength__estimated,11643.7
design__violations,0
design__instance__count__class:timing_repair_buffer,57
design__instance__area__class:timing_repair_buffer,571.798
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,11
design__instance__area__class:clock_buffer,240.23
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,39
global_route__vias,3419
global_route__wirelength,20182
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,476
route__net__special,2
route__drc_errors__iter:0,244
route__wirelength__iter:0,13094
route__drc_errors__iter:1,206
route__wirelength__iter:1,12932
route__drc_errors__iter:2,103
route__wirelength__iter:2,12892
route__drc_errors__iter:3,13
route__wirelength__iter:3,12928
route__drc_errors__iter:4,12
route__wirelength__iter:4,12942
route__drc_errors__iter:5,5
route__wirelength__iter:5,12941
route__drc_errors__iter:6,5
route__wirelength__iter:6,12940
route__drc_errors__iter:7,0
route__wirelength__iter:7,12938
route__drc_errors,0
route__wirelength,12938
route__vias,3561
route__vias__singlecut,3561
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,190.6
timing__unannotated_net__count__corner:nom_tt_025C_1v80,11
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,11
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
