Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1532
design__instance__area,11932.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003779666731134057
power__switching__total,0.00015178113244473934
power__leakage__total,1.2239216751197546E-8
power__total,0.0005297600291669369
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25653857542172653
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25718369828400595
timing__hold__ws__corner:nom_tt_025C_1v80,0.33081438524895473
timing__setup__ws__corner:nom_tt_025C_1v80,9.028023917313252
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.330814
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.245146
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,19
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25845762372964115
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25951155847672513
timing__hold__ws__corner:nom_ss_100C_1v60,0.891267085361387
timing__setup__ws__corner:nom_ss_100C_1v60,2.4851899019883983
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.891267
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.573486
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2556310513401558
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25592254040351503
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11010032086556543
timing__setup__ws__corner:nom_ff_n40C_1v95,11.442065396800936
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110100
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.028105
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,19
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2548256677797393
clock__skew__worst_setup,0.25497787936072025
timing__hold__ws,0.1077974406916068
timing__setup__ws,2.368976193375987
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107797
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.461258
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1532
design__instance__area__stdcell,11932.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.723487
design__instance__utilization__stdcell,0.723487
design__instance__count__class:buffer,5
design__instance__count__class:inverter,48
design__instance__count__class:sequential_cell,104
design__instance__count__class:multi_input_combinational_cell,1029
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,944
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,23088.1
design__violations,0
design__instance__count__class:timing_repair_buffer,105
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,36
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1319
route__net__special,2
route__drc_errors__iter:1,756
route__wirelength__iter:1,26325
route__drc_errors__iter:2,439
route__wirelength__iter:2,25998
route__drc_errors__iter:3,334
route__wirelength__iter:3,25906
route__drc_errors__iter:4,69
route__wirelength__iter:4,25868
route__drc_errors__iter:5,1
route__wirelength__iter:5,25844
route__drc_errors__iter:6,0
route__wirelength__iter:6,25846
route__drc_errors,0
route__wirelength,25846
route__vias,9075
route__vias__singlecut,9075
route__vias__multicut,0
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,219.32
timing__unannotated_net__count__corner:nom_tt_025C_1v80,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,30
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,30
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,8
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25566069429575167
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2560735307391343
timing__hold__ws__corner:min_tt_025C_1v80,0.32528830549874604
timing__setup__ws__corner:min_tt_025C_1v80,9.085852327677006
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
