Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,2203
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.01335174310952425
power__switching__total,0.0190616175532341
power__leakage__total,1.8185430050721152E-8
power__total,0.03241337835788727
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27081612718892967
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26749017646884454
timing__hold__ws__corner:nom_tt_025C_1v80,0.34571807506417923
timing__setup__ws__corner:nom_tt_025C_1v80,6.2998035238257755
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.345718
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.299804
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,196
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2842903493083699
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27873074082186927
timing__hold__ws__corner:nom_ss_100C_1v60,0.9359127071579078
timing__setup__ws__corner:nom_ss_100C_1v60,-6.102761135842563
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-215.61945728078175
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-6.102761135842563
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.935913
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,40
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-6.102761
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,40
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2664785134646187
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2633917047908012
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1255364181473064
timing__setup__ws__corner:nom_ff_n40C_1v95,11.265690921228675
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.125536
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,11.265691
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,221
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26457106698763955
clock__skew__worst_setup,0.26187752707584233
timing__hold__ws,0.12169549046268435
timing__setup__ws,-6.465610452261575
timing__hold__tns,0.0
timing__setup__tns,-228.97352573202835
timing__hold__wns,0
timing__setup__wns,-6.465610452261575
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121695
timing__hold_r2r_vio__count,0
timing__setup_vio__count,120
timing__setup_r2r__ws,-6.465611
timing__setup_r2r_vio__count,120
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1588
design__instance__area__stdcell,14833
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.899332
design__instance__utilization__stdcell,0.899332
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,12
design__instance__area__class:buffer,60.0576
design__instance__count__class:inverter,48
design__instance__area__class:inverter,180.173
design__instance__count__class:sequential_cell,64
design__instance__area__class:sequential_cell,1681.61
design__instance__count__class:multi_input_combinational_cell,1018
design__instance__area__class:multi_input_combinational_cell,10745.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,615
design__instance__area__class:fill_cell,1660.34
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,10361.6
design__instance__displacement__mean,6.249
design__instance__displacement__max,122.1
route__wirelength__estimated,46729.1
design__violations,0
design__instance__count__class:timing_repair_buffer,197
design__instance__area__class:timing_repair_buffer,1586.52
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,16
design__instance__area__class:clock_buffer,277.766
design__instance__count__setup_buffer,84
design__instance__count__hold_buffer,6
flow__warnings__count:RSZ-0062,1
global_route__vias,53
global_route__wirelength,77611
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,8
design__instance__area__class:antenna_cell,20.0192
route__net,1367
route__net__special,2
route__drc_errors__iter:0,249
route__wirelength__iter:0,53677
route__drc_errors__iter:1,147
route__wirelength__iter:1,53644
route__drc_errors__iter:2,86
route__wirelength__iter:2,53654
route__drc_errors__iter:3,0
route__wirelength__iter:3,53615
route__drc_errors__iter:4,357
route__wirelength__iter:4,53559
route__drc_errors__iter:5,102
route__wirelength__iter:5,53557
route__drc_errors__iter:6,57
route__wirelength__iter:6,53577
route__drc_errors__iter:7,57
route__wirelength__iter:7,53577
route__drc_errors__iter:8,2
route__wirelength__iter:8,53576
route__drc_errors__iter:9,2
route__wirelength__iter:9,53575
route__drc_errors__iter:10,2
route__wirelength__iter:10,53575
route__drc_errors__iter:11,2
route__wirelength__iter:11,53589
route__drc_errors__iter:15,1
route__wirelength__iter:15,53589
route__drc_errors__iter:16,1
