Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1215
design__instance__area,8773.41
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00028009750531055033
power__switching__total,0.0002575788530521095
power__leakage__total,9.656317523365487E-9
power__total,0.0005376860499382019
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25634647907745794
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25634647907745794
timing__hold__ws__corner:nom_tt_025C_1v80,0.33242931570624784
timing__setup__ws__corner:nom_tt_025C_1v80,10.514804435874016
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.332429
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,25
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.258630818526381
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.258630818526381
timing__hold__ws__corner:nom_ss_100C_1v60,0.8942855598061062
timing__setup__ws__corner:nom_ss_100C_1v60,6.815403545541739
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.894286
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.016183
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2552751970951236
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2552751970951236
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12070411678480736
timing__setup__ws__corner:nom_ff_n40C_1v95,10.966616369861486
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120704
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,45
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2540600857158813
clock__skew__worst_setup,0.2540600857158813
timing__hold__ws,0.11726131508807566
timing__setup__ws,6.704604172728947
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117261
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.854276
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1215
design__instance__area__stdcell,8773.41
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.531937
design__instance__utilization__stdcell,0.531937
design__instance__count__class:buffer,8
design__instance__count__class:inverter,24
design__instance__count__class:sequential_cell,54
design__instance__count__class:multi_input_combinational_cell,770
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1094
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,30196.2
design__violations,0
design__instance__count__class:timing_repair_buffer,123
design__instance__count__class:clock_buffer,5
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,7
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
route__net,1003
route__net__special,2
route__drc_errors__iter:1,1310
route__wirelength__iter:1,37116
route__drc_errors__iter:2,784
route__wirelength__iter:2,36748
route__drc_errors__iter:3,682
route__wirelength__iter:3,36502
route__drc_errors__iter:4,290
route__wirelength__iter:4,36457
route__drc_errors__iter:5,107
route__wirelength__iter:5,36543
route__drc_errors__iter:6,71
route__wirelength__iter:6,36542
route__drc_errors__iter:7,71
route__wirelength__iter:7,36542
route__drc_errors__iter:8,21
route__wirelength__iter:8,36542
route__drc_errors__iter:9,0
route__wirelength__iter:9,36546
route__drc_errors,0
route__wirelength,36546
route__vias,9263
route__vias__singlecut,9263
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,286.65
timing__unannotated_net__count__corner:nom_tt_025C_1v80,4
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,4
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2550208449929884
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2550208449929884
timing__hold__ws__corner:min_tt_025C_1v80,0.3272023300473321
timing__setup__ws__corner:min_tt_025C_1v80,10.533377135333637
timing__hold__tns__corner:min_tt_025C_1v80,0.0
