Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,1163
design__instance__area,17079.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00022401347814593464
power__switching__total,0.00006515715358546004
power__leakage__total,7.413547997714431E-9
power__total,0.00028917804593220353
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3600168320917524
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5644157523332171
timing__hold__ws__corner:nom_tt_025C_1v80,0.32015180301889634
timing__setup__ws__corner:nom_tt_025C_1v80,6.20302582412135
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320152
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.203026
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,22
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.48706384748466197
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.798182542652827
timing__hold__ws__corner:nom_ss_100C_1v60,0.8940222148972172
timing__setup__ws__corner:nom_ss_100C_1v60,2.7375400499089673
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.894022
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.737540
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.31480377529129755
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4663135565229546
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11376672148578043
timing__setup__ws__corner:nom_ff_n40C_1v95,7.564209028800185
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113767
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.564209
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,22
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.31480377529129755
clock__skew__worst_setup,0.46351515604351584
timing__hold__ws,0.11221834890069599
timing__setup__ws,2.6944776061903375
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112218
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.694478
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,1.38 0.0 159.62 108.8
design__io,45
design__die__area,17954.7
design__core__area,17216.5
design__instance__count__stdcell,580
design__instance__area__stdcell,5094.89
design__instance__count__macros,2
design__instance__area__macros,10160
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.88606
design__instance__utilization__stdcell,0.722009
design__rows,17
design__rows:unithd,17
design__sites,5530
design__sites:unithd,5530
design__instance__count__class:macro,2
design__instance__area__class:macro,10160
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,9
design__instance__area__class:inverter,33.7824
design__instance__count__class:clock_gate_cell,1
design__instance__area__class:clock_gate_cell,18.768
design__instance__count__class:sequential_cell,56
design__instance__area__class:sequential_cell,1191.14
design__instance__count__class:multi_input_combinational_cell,318
design__instance__area__class:multi_input_combinational_cell,2870.25
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,4
flow__warnings__count:ORD-2011,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,142
design__instance__area__class:tap_cell,177.67
flow__warnings__count:PDN-0211,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,117.567
design__instance__displacement__mean,0.202
design__instance__displacement__max,9.66
route__wirelength__estimated,11228.9
design__instance__count__class:timing_repair_buffer,32
design__instance__area__class:timing_repair_buffer,304.042
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,14
design__instance__count__class:clock_buffer,20
design__instance__area__class:clock_buffer,489.219
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,9
global_route__vias,3623
global_route__wirelength,20396
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0230,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,480
route__net__special,2
route__drc_errors__iter:0,437
route__wirelength__iter:0,13204
route__drc_errors__iter:1,78
route__wirelength__iter:1,12985
route__drc_errors__iter:2,97
route__wirelength__iter:2,12925
route__drc_errors__iter:3,65
route__wirelength__iter:3,12710
route__drc_errors__iter:4,63
route__wirelength__iter:4,12732
route__drc_errors__iter:5,63
route__wirelength__iter:5,12732
route__drc_errors__iter:6,8
route__wirelength__iter:6,12739
route__drc_errors__iter:7,8
route__wirelength__iter:7,12744
route__drc_errors__iter:8,6
route__wirelength__iter:8,12745
route__drc_errors__iter:9,6
route__wirelength__iter:9,12739
route__drc_errors__iter:10,6
route__wirelength__iter:10,12741
route__drc_errors__iter:11,4
route__wirelength__iter:11,12747
route__drc_errors__iter:12,4
route__wirelength__iter:12,12747
route__drc_errors__iter:13,4
