Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,53
design__inferred_latch__count,0
design__instance__count,6653
design__instance__area,58302.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,44
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008506966405548155
power__switching__total,0.0004610101168509573
power__leakage__total,6.408065900131987E-8
power__total,0.0013117707567289472
clock__skew__worst_hold__corner:nom_tt_025C_1v80,9.126108127510006
clock__skew__worst_setup__corner:nom_tt_025C_1v80,9.62610818302116
timing__hold__ws__corner:nom_tt_025C_1v80,0.31731806969069964
timing__setup__ws__corner:nom_tt_025C_1v80,9.560206230593995
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.317318
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.560206
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,44
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,10.164038787196775
clock__skew__worst_setup__corner:nom_ss_100C_1v60,10.664038842707928
timing__hold__ws__corner:nom_ss_100C_1v60,0.874236707771195
timing__setup__ws__corner:nom_ss_100C_1v60,-0.16321700009070522
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-1.842265059315332
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.16321700009070522
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.874237
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,16
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.163217
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,16
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,44
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,8.674200270250497
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,9.17420032576165
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11116896606814172
timing__setup__ws__corner:nom_ff_n40C_1v95,10.942830062930774
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111169
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.366370
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,44
design__max_cap_violation__count,0
clock__skew__worst_hold,10.32319947632999
clock__skew__worst_setup,9.118053237193937
timing__hold__ws,0.10880652242722738
timing__setup__ws,-0.5509317602508838
timing__hold__tns,0.0
timing__setup__tns,-40.68496055210949
timing__hold__wns,0
timing__setup__wns,-0.5509317602508838
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108807
timing__hold_r2r_vio__count,0
timing__setup_vio__count,199
timing__setup_r2r__ws,-0.550932
timing__setup_r2r_vio__count,199
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,6653
design__instance__area__stdcell,58302.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.803452
design__instance__utilization__stdcell,0.803452
design__instance__count__class:buffer,6
design__instance__count__class:inverter,119
design__instance__count__class:sequential_cell,729
design__instance__count__class:multi_input_combinational_cell,3210
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3432
design__instance__count__class:tap_cell,1037
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,140304
design__violations,0
design__instance__count__class:timing_repair_buffer,969
design__instance__count__class:clock_buffer,55
design__instance__count__class:clock_inverter,507
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,577
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,21
design__instance__count__class:antenna_cell,21
route__net,5576
route__net__special,2
route__drc_errors__iter:1,3636
route__wirelength__iter:1,165875
route__drc_errors__iter:2,2099
route__wirelength__iter:2,164094
route__drc_errors__iter:3,2054
route__wirelength__iter:3,163932
route__drc_errors__iter:4,281
route__wirelength__iter:4,163444
route__drc_errors__iter:5,29
route__wirelength__iter:5,163418
route__drc_errors__iter:6,6
route__wirelength__iter:6,163416
route__drc_errors__iter:7,0
route__wirelength__iter:7,163410
route__drc_errors,0
route__wirelength,163410
route__vias,41627
route__vias__singlecut,41627
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,508.86
timing__unannotated_net__count__corner:nom_tt_025C_1v80,53
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,53
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,53
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,44
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,9.037902237976533
clock__skew__worst_setup__corner:min_tt_025C_1v80,9.537902293487686
timing__hold__ws__corner:min_tt_025C_1v80,0.31267433971426634
timing__setup__ws__corner:min_tt_025C_1v80,9.802759770268205
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
