Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,442
design__inferred_latch__count,0
design__instance__count,832
design__instance__area,6352.34
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008900260436348617
power__switching__total,0.0006830681231804192
power__leakage__total,6.986865308533652E-9
power__total,0.0015731011517345905
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25551436689696766
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25677394270960374
timing__hold__ws__corner:nom_tt_025C_1v80,0.31818693025434436
timing__setup__ws__corner:nom_tt_025C_1v80,14.15902191125121
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318187
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.805838
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2595378152520001
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2613895007759904
timing__hold__ws__corner:nom_ss_100C_1v60,0.8777295250166006
timing__setup__ws__corner:nom_ss_100C_1v60,9.281460307471834
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.877730
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.281461
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2544438898263489
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25553379580044805
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11101703204292478
timing__setup__ws__corner:nom_ff_n40C_1v95,14.722302016420421
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111017
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.658129
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2539074300456779
clock__skew__worst_setup,0.25487812581913644
timing__hold__ws,0.10867834717540936
timing__setup__ws,9.204695932664528
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108678
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.204696
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,832
design__instance__area__stdcell,6352.34
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.385146
design__instance__utilization__stdcell,0.385146
design__instance__count__class:buffer,2
design__instance__count__class:inverter,17
design__instance__count__class:sequential_cell,80
design__instance__count__class:multi_input_combinational_cell,424
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1209
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,9747.54
design__violations,0
design__instance__count__class:timing_repair_buffer,69
design__instance__count__class:clock_buffer,11
design__instance__count__class:clock_inverter,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,41
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,620
route__net__special,2
route__drc_errors__iter:1,259
route__wirelength__iter:1,10929
route__drc_errors__iter:2,74
route__wirelength__iter:2,10777
route__drc_errors__iter:3,86
route__wirelength__iter:3,10737
route__drc_errors__iter:4,21
route__wirelength__iter:4,10737
route__drc_errors__iter:5,0
route__wirelength__iter:5,10736
route__drc_errors,0
route__wirelength,10736
route__vias,3991
route__vias__singlecut,3991
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,167.82
timing__unannotated_net__count__corner:nom_tt_025C_1v80,43
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,43
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,43
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2548501481981246
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2559746931315718
timing__hold__ws__corner:min_tt_025C_1v80,0.3157562634066373
timing__setup__ws__corner:min_tt_025C_1v80,14.179442021876056
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.315756
