Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3708
design__instance__area,33816.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,7
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00018809892935678363
power__switching__total,0.000057323453802382573
power__leakage__total,1.7338630087238016E-8
power__total,0.0002454397326800972
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2575919828128589
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25725097780120104
timing__hold__ws__corner:nom_tt_025C_1v80,0.312813783730103
timing__setup__ws__corner:nom_tt_025C_1v80,12.59420159363638
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312814
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,37.345184
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,219
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,7
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26215699797462005
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2615604196154654
timing__hold__ws__corner:nom_ss_100C_1v60,0.8373481034448113
timing__setup__ws__corner:nom_ss_100C_1v60,10.973098296151779
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.837348
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,36.080742
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,7
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2558617556911977
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25551625427616287
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1175727326552905
timing__setup__ws__corner:nom_ff_n40C_1v95,13.169478325059766
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.117573
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,37.867348
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,223
design__max_fanout_violation__count,7
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2548909766510099
clock__skew__worst_setup,0.2546666005713874
timing__hold__ws,0.11574946884153442
timing__setup__ws,10.906280631748006
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115749
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,36.044250
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1184
design__instance__area__stdcell,8963.6
design__instance__count__macros,1
design__instance__area__macros,16272.3
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.736698
design__instance__utilization__stdcell,0.498446
design__rows,81
design__rows:unithd,81
design__sites,14022
design__sites:unithd,14022
design__instance__count__class:macro,1
design__instance__area__class:macro,16272.3
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,25
design__instance__area__class:inverter,93.84
design__instance__count__class:sequential_cell,94
design__instance__area__class:sequential_cell,1999.42
design__instance__count__class:multi_input_combinational_cell,541
design__instance__area__class:multi_input_combinational_cell,5047.34
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,408
design__instance__area__class:tap_cell,510.49
flow__warnings__count:PDN-0211,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,374.02
design__instance__displacement__mean,0.316
design__instance__displacement__max,10.96
route__wirelength__estimated,17263.1
design__violations,0
design__instance__count__class:timing_repair_buffer,98
design__instance__area__class:timing_repair_buffer,975.936
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,14
design__instance__count__class:clock_buffer,11
design__instance__area__class:clock_buffer,252.742
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,68.816
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,47
global_route__vias,2332
global_route__wirelength,31401
antenna__violating__nets,0
antenna__violating__pins,0
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0704,1
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,796
route__net__special,2
route__drc_errors__iter:0,268
route__wirelength__iter:0,20599
route__drc_errors__iter:1,91
route__wirelength__iter:1,20284
route__drc_errors__iter:2,66
route__wirelength__iter:2,20256
route__drc_errors__iter:3,0
route__wirelength__iter:3,20252
route__drc_errors,0
route__wirelength,20252
route__vias,5629
route__vias__singlecut,5629
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,242.6
design__instance__count__class:fill_cell,2523
design__instance__area__class:fill_cell,8580.73
timing__unannotated_net__count__corner:nom_tt_025C_1v80,35
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,35
