Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2082
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,16
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007322652963921428
power__switching__total,0.00025487932725809515
power__leakage__total,1.762431267593456E-8
power__total,0.0009871622314676642
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26780198261412896
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.267419954860551
timing__hold__ws__corner:nom_tt_025C_1v80,0.3367506924183645
timing__setup__ws__corner:nom_tt_025C_1v80,8.197588617726776
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.336751
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.863691
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,180
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,16
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2793246546456895
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2789553944572558
timing__hold__ws__corner:nom_ss_100C_1v60,0.9338069470875463
timing__setup__ws__corner:nom_ss_100C_1v60,5.041221804914047
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.933807
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.981754
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,16
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2628626002378764
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26246983107623134
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1111958334660975
timing__setup__ws__corner:nom_ff_n40C_1v95,9.454069794616506
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111196
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.854769
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,212
design__max_fanout_violation__count,16
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2618929869318975
clock__skew__worst_setup,0.2616238411075408
timing__hold__ws,0.10892270727004033
timing__setup__ws,4.806290612653279
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108923
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.882696
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1370
design__instance__area__stdcell,14430.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.874905
design__instance__utilization__stdcell,0.874905
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,105
design__instance__area__class:inverter,394.128
design__instance__count__class:sequential_cell,219
design__instance__area__class:sequential_cell,5754.27
design__instance__count__class:multi_input_combinational_cell,518
design__instance__area__class:multi_input_combinational_cell,5002.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,712
design__instance__area__class:fill_cell,2063.23
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,8042.4
design__instance__displacement__mean,5.584
design__instance__displacement__max,92.077
route__wirelength__estimated,36658.3
design__violations,0
design__instance__count__class:timing_repair_buffer,253
design__instance__area__class:timing_repair_buffer,2444.84
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,467.949
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,40.0384
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,165
global_route__vias,89
global_route__wirelength,63804
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,8
design__instance__area__class:antenna_cell,20.0192
route__net,1143
route__net__special,2
route__drc_errors__iter:0,130
route__wirelength__iter:0,43083
route__drc_errors__iter:1,51
route__wirelength__iter:1,43061
route__drc_errors__iter:2,55
route__wirelength__iter:2,43052
route__drc_errors__iter:3,0
route__wirelength__iter:3,43052
route__drc_errors__iter:4,57
route__wirelength__iter:4,43041
route__drc_errors__iter:5,9
route__wirelength__iter:5,43032
route__drc_errors__iter:6,0
route__wirelength__iter:6,43032
route__drc_errors,0
route__wirelength,43052
route__vias,9312
route__vias__singlecut,9312
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,308.38
timing__unannotated_net__count__corner:nom_tt_025C_1v80,29
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
