Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,1965
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,30
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,12
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008428806904703379
power__switching__total,0.0005127412732690573
power__leakage__total,1.677220140550162E-8
power__total,0.0013556387275457382
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27850708638723315
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27430411496404156
timing__hold__ws__corner:nom_tt_025C_1v80,0.3357185180431786
timing__setup__ws__corner:nom_tt_025C_1v80,9.92355559147744
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.335719
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.202030
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,408
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,12
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29529510228429506
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28833056203154833
timing__hold__ws__corner:nom_ss_100C_1v60,0.923671276719877
timing__setup__ws__corner:nom_ss_100C_1v60,4.832307135658932
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.923671
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.411082
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,12
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27012035039971916
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26693861765461163
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11532625181257791
timing__setup__ws__corner:nom_ff_n40C_1v95,11.209788969911735
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115326
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.883041
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,441
design__max_fanout_violation__count,12
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.267249036021076
clock__skew__worst_setup,0.26488065268681193
timing__hold__ws,0.11266277119002256
timing__setup__ws,4.494412080825571
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112663
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.103595
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1413
design__instance__area__stdcell,14979.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.908208
design__instance__utilization__stdcell,0.908208
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,12
design__instance__area__class:buffer,60.0576
design__instance__count__class:inverter,23
design__instance__area__class:inverter,86.3328
design__instance__count__class:sequential_cell,205
design__instance__area__class:sequential_cell,5386.42
design__instance__count__class:multi_input_combinational_cell,679
design__instance__area__class:multi_input_combinational_cell,6616.35
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,552
design__instance__area__class:fill_cell,1513.95
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,6997.65
design__instance__displacement__mean,4.766
design__instance__displacement__max,102.98
route__wirelength__estimated,44346.1
design__violations,0
design__instance__count__class:timing_repair_buffer,212
design__instance__area__class:timing_repair_buffer,2026.94
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,30
design__instance__area__class:clock_buffer,415.398
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,48.7968
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,100
global_route__vias,47
global_route__wirelength,82779
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,23
design__instance__area__class:antenna_cell,57.5552
route__net,1171
route__net__special,2
route__drc_errors__iter:0,93
route__wirelength__iter:0,56980
route__drc_errors__iter:1,58
route__wirelength__iter:1,56972
route__drc_errors__iter:2,3
route__wirelength__iter:2,56975
route__drc_errors__iter:3,0
route__wirelength__iter:3,57006
route__drc_errors__iter:4,329
route__wirelength__iter:4,56842
route__drc_errors__iter:5,259
route__wirelength__iter:5,56894
route__drc_errors__iter:6,256
route__wirelength__iter:6,56892
route__drc_errors__iter:7,252
route__wirelength__iter:7,56893
route__drc_errors__iter:8,252
route__wirelength__iter:8,56893
route__drc_errors__iter:9,247
route__wirelength__iter:9,56913
route__drc_errors__iter:10,194
route__wirelength__iter:10,56928
route__drc_errors__iter:11,173
route__wirelength__iter:11,56922
route__drc_errors__iter:12,155
