Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,447
design__inferred_latch__count,0
design__instance__count,5764
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,7
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0026863282546401024
power__switching__total,0.0024376767687499523
power__leakage__total,3.554443139819341E-8
power__total,0.00512404041364789
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2627776126629377
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27109340539717175
timing__hold__ws__corner:nom_tt_025C_1v80,0.3416629853520501
timing__setup__ws__corner:nom_tt_025C_1v80,10.390259613449198
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.341663
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.525893
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,345
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2704919420565705
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28364519869051413
timing__hold__ws__corner:nom_ss_100C_1v60,0.9271673691232979
timing__setup__ws__corner:nom_ss_100C_1v60,5.094946830862735
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.927167
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.660154
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2599433519787894
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2654372352603734
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12362111684220588
timing__setup__ws__corner:nom_ff_n40C_1v95,12.451307892720035
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123621
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.932561
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,442
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25885935794246356
clock__skew__worst_setup,0.2638179749331618
timing__hold__ws,0.11946388660892249
timing__setup__ws,4.940015647483752
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119464
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.546445
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2548
design__instance__area__stdcell,24138.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.704653
design__instance__utilization__stdcell,0.704653
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,50
design__instance__area__class:inverter,187.68
design__instance__count__class:sequential_cell,170
design__instance__area__class:sequential_cell,4466.78
design__instance__count__class:multi_input_combinational_cell,1616
design__instance__area__class:multi_input_combinational_cell,15970.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3216
design__instance__area__class:fill_cell,10117.2
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,919.49
design__instance__displacement__mean,0.339
design__instance__displacement__max,37.24
route__wirelength__estimated,53659
design__violations,0
design__instance__count__class:timing_repair_buffer,194
design__instance__area__class:timing_repair_buffer,1811.74
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,59
design__instance__area__class:clock_buffer,1121.08
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,37
global_route__vias,6126
global_route__wirelength,94233
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,2099
route__net__special,2
route__drc_errors__iter:0,997
route__wirelength__iter:0,62953
route__drc_errors__iter:1,400
route__wirelength__iter:1,62325
route__drc_errors__iter:2,489
route__wirelength__iter:2,62192
route__drc_errors__iter:3,113
route__wirelength__iter:3,62158
route__drc_errors__iter:4,16
route__wirelength__iter:4,62179
route__drc_errors__iter:5,0
route__wirelength__iter:5,62165
route__drc_errors,0
route__wirelength,62165
route__vias,16092
route__vias__singlecut,16092
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,464.135
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,28
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
