Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,12591
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,36
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,20
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0016247282037511468
power__switching__total,0.0005775989266112447
power__leakage__total,7.480639396817423E-8
power__total,0.0022024018689990044
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2921870883501075
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2915266166540786
timing__hold__ws__corner:nom_tt_025C_1v80,0.32210329759562323
timing__setup__ws__corner:nom_tt_025C_1v80,11.124537161885732
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322103
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.123412
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,629
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,20
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3173658925488379
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3167257379347342
timing__hold__ws__corner:nom_ss_100C_1v60,0.8970517915724966
timing__setup__ws__corner:nom_ss_100C_1v60,4.955087147513894
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.897052
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.955087
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,20
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27990346943594785
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27922617786062015
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11330292580412624
timing__setup__ws__corner:nom_ff_n40C_1v95,11.32799219824054
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113303
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.898697
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,730
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27676969832686055
clock__skew__worst_setup,0.27630173930874624
timing__hold__ws,0.1107273193364552
timing__setup__ws,4.5976255215411586
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110727
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.597626
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,4878
design__instance__area__stdcell,47045.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.648321
design__instance__utilization__stdcell,0.648321
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:inverter,56
design__instance__area__class:inverter,210.202
design__instance__count__class:sequential_cell,471
design__instance__area__class:sequential_cell,11690
design__instance__count__class:multi_input_combinational_cell,2701
design__instance__area__class:multi_input_combinational_cell,27627.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,7713
design__instance__area__class:fill_cell,25519.5
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2369.95
design__instance__displacement__mean,0.471
design__instance__displacement__max,23.846
route__wirelength__estimated,97699.9
design__violations,0
design__instance__count__class:timing_repair_buffer,516
design__instance__area__class:timing_repair_buffer,4939.74
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,75
design__instance__area__class:clock_buffer,1089.8
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,160.154
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,233
global_route__vias,11678
global_route__wirelength,167787
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,12
design__instance__count__class:antenna_cell,12
design__instance__area__class:antenna_cell,30.0288
route__net,3819
route__net__special,2
route__drc_errors__iter:0,2066
route__wirelength__iter:0,112548
route__drc_errors__iter:1,794
route__wirelength__iter:1,111678
route__drc_errors__iter:2,736
route__wirelength__iter:2,111319
route__drc_errors__iter:3,82
route__wirelength__iter:3,111189
route__drc_errors__iter:4,0
route__wirelength__iter:4,111175
route__drc_errors,0
route__wirelength,111175
route__vias,28806
route__vias__singlecut,28806
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,556.68
timing__unannotated_net__count__corner:nom_tt_025C_1v80,62
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,62
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,62
