Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,2331
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007274383096955717
power__switching__total,0.0002267526142532006
power__leakage__total,1.9500983938769423E-8
power__total,0.000954210408963263
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2701083044795613
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27000016875390453
timing__hold__ws__corner:nom_tt_025C_1v80,0.3248825189717691
timing__setup__ws__corner:nom_tt_025C_1v80,14.633898063093755
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324883
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.972042
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,148
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.280966008411716
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.280864645046701
timing__hold__ws__corner:nom_ss_100C_1v60,0.856454265082852
timing__setup__ws__corner:nom_ss_100C_1v60,10.464879037312265
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.856454
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.464879
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2651959005235701
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26508471168450926
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10958045891958199
timing__setup__ws__corner:nom_ff_n40C_1v95,14.998308797218758
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109580
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.673847
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,159
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26322797464561404
clock__skew__worst_setup,0.26314112744705653
timing__hold__ws,0.10815892931864834
timing__setup__ws,10.254542394366995
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108159
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.254542
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1440
design__instance__area__stdcell,13999.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.848809
design__instance__utilization__stdcell,0.848809
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,22
design__instance__area__class:inverter,82.5792
design__instance__count__class:sequential_cell,215
design__instance__area__class:sequential_cell,4583.15
design__instance__count__class:multi_input_combinational_cell,711
design__instance__area__class:multi_input_combinational_cell,6252.25
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,891
design__instance__area__class:fill_cell,2493.64
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2960.73
design__instance__displacement__mean,1.95
design__instance__displacement__max,64.62
route__wirelength__estimated,25504.9
design__violations,0
design__instance__count__class:timing_repair_buffer,233
design__instance__area__class:timing_repair_buffer,2293.45
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,471.702
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,30.0288
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,173
global_route__vias,8921
global_route__wirelength,48093
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1225
route__net__special,2
route__drc_errors__iter:0,484
route__wirelength__iter:0,29624
route__drc_errors__iter:1,246
route__wirelength__iter:1,29386
route__drc_errors__iter:2,173
route__wirelength__iter:2,29328
route__drc_errors__iter:3,4
route__wirelength__iter:3,29255
route__drc_errors__iter:4,0
route__wirelength__iter:4,29262
route__drc_errors,0
route__wirelength,29262
route__vias,8889
route__vias__singlecut,8889
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,233.25
timing__unannotated_net__count__corner:nom_tt_025C_1v80,49
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,49
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,49
