Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,2779
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003331526240799576
power__switching__total,0.00015768215234857053
power__leakage__total,1.7829645315714515E-8
power__total,0.0004908525734208524
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2598477617736657
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2606300249389405
timing__hold__ws__corner:nom_tt_025C_1v80,0.343935056836204
timing__setup__ws__corner:nom_tt_025C_1v80,7.361531148584593
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.343935
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.613375
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,575
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26631667069862675
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2674655850281536
timing__hold__ws__corner:nom_ss_100C_1v60,0.9838572457430995
timing__setup__ws__corner:nom_ss_100C_1v60,-1.0843539706405954
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-4.127693859100926
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.0843539706405954
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.983857
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.427805
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25786673526364856
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25866567953034014
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11360979145681138
timing__setup__ws__corner:nom_ff_n40C_1v95,10.54645822746894
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113610
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.777946
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,618
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25687352971772914
clock__skew__worst_setup,0.25732897097088675
timing__hold__ws,0.11166268226115578
timing__setup__ws,-1.3336496728894298
timing__hold__tns,0.0
timing__setup__tns,-5.615078339004167
timing__hold__wns,0
timing__setup__wns,-1.3336496728894298
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111663
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,8.240027
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1511
design__instance__area__stdcell,12731
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.771886
design__instance__utilization__stdcell,0.771886
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,47
design__instance__area__class:inverter,176.419
design__instance__count__class:sequential_cell,69
design__instance__area__class:sequential_cell,1467.66
design__instance__count__class:multi_input_combinational_cell,1020
design__instance__area__class:multi_input_combinational_cell,9286.41
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1268
design__instance__area__class:fill_cell,3762.36
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3674.28
design__instance__displacement__mean,2.324
design__instance__displacement__max,73.02
route__wirelength__estimated,31844.5
design__violations,0
design__instance__count__class:timing_repair_buffer,128
design__instance__area__class:timing_repair_buffer,1241.19
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,12
design__instance__area__class:clock_buffer,247.738
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,42
global_route__vias,3478
global_route__wirelength,56290
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,8
design__instance__area__class:antenna_cell,20.0192
route__net,1294
route__net__special,2
route__drc_errors__iter:0,1330
route__wirelength__iter:0,38332
route__drc_errors__iter:1,662
route__wirelength__iter:1,37878
route__drc_errors__iter:2,556
route__wirelength__iter:2,37791
route__drc_errors__iter:3,197
route__wirelength__iter:3,37672
route__drc_errors__iter:4,20
route__wirelength__iter:4,37638
route__drc_errors__iter:5,0
route__wirelength__iter:5,37657
route__drc_errors,0
route__wirelength,37657
route__vias,10064
route__vias__singlecut,10064
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,257.42
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,36
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
