Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4058
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00025849082157947123
power__switching__total,0.00020691438112407923
power__leakage__total,1.63028079924743E-8
power__total,0.00046542150084860623
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2523242242122107
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2523242242122107
timing__hold__ws__corner:nom_tt_025C_1v80,0.31167802554379004
timing__setup__ws__corner:nom_tt_025C_1v80,5.732636749782036
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.311678
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.026167
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,44
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2533212877832498
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25370453678218946
timing__hold__ws__corner:nom_ss_100C_1v60,0.858156348050043
timing__setup__ws__corner:nom_ss_100C_1v60,-0.33545434046699757
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.33545434046699757
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.33545434046699757
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.858156
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.670700
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2518473556540718
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2518473556540718
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1088667520280167
timing__setup__ws__corner:nom_ff_n40C_1v95,8.013108625667092
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108867
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.685877
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,44
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2515820400992584
clock__skew__worst_setup,0.25159941509008515
timing__hold__ws,0.10686940523907598
timing__setup__ws,-0.4049614092016841
timing__hold__tns,0.0
timing__setup__tns,-0.4049614092016841
timing__hold__wns,0
timing__setup__wns,-0.4049614092016841
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106869
timing__hold_r2r_vio__count,0
timing__setup_vio__count,3
timing__setup_r2r__ws,11.622253
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,595
design__instance__area__stdcell,4153.98
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.251859
design__instance__utilization__stdcell,0.251859
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,10
design__instance__area__class:inverter,37.536
design__instance__count__class:sequential_cell,29
design__instance__area__class:sequential_cell,651.875
design__instance__count__class:multi_input_combinational_cell,288
design__instance__area__class:multi_input_combinational_cell,2730.12
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3463
design__instance__area__class:fill_cell,12339.3
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,52.256
design__instance__displacement__mean,0.077
design__instance__displacement__max,6.23
route__wirelength__estimated,6627.76
design__violations,0
design__instance__count__class:timing_repair_buffer,31
design__instance__area__class:timing_repair_buffer,285.274
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,8
design__instance__area__class:clock_buffer,147.642
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,10
global_route__vias,2343
global_route__wirelength,11971
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,386
route__net__special,2
route__drc_errors__iter:0,93
route__wirelength__iter:0,7115
route__drc_errors__iter:1,31
route__wirelength__iter:1,7023
route__drc_errors__iter:2,16
route__wirelength__iter:2,7012
route__drc_errors__iter:3,0
route__wirelength__iter:3,7015
route__drc_errors,0
route__wirelength,7015
route__vias,2597
route__vias__singlecut,2597
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,161.96
timing__unannotated_net__count__corner:nom_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,33
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
